Mod:Item:MetaData, Localized Name
openblocks:elevator:5, Elevator
openblocks:elevator:6, Elevator
openblocks:elevator:7, Elevator
openblocks:elevator:8, Elevator
openblocks:elevator:9, Elevator
openblocks:elevator:10, Elevator
openblocks:elevator:11, Elevator
openblocks:elevator:12, Elevator
openblocks:elevator:13, Elevator
openblocks:elevator:14, Elevator
openblocks:elevator:15, Elevator
openblocks:elevator_rotating:0, Rotating Elevator
openblocks:elevator_rotating:1, Rotating Elevator
openblocks:elevator_rotating:2, Rotating Elevator
openblocks:elevator_rotating:3, Rotating Elevator
openblocks:elevator_rotating:4, Rotating Elevator
openblocks:elevator_rotating:5, Rotating Elevator
openblocks:elevator_rotating:6, Rotating Elevator
openblocks:elevator_rotating:7, Rotating Elevator
openblocks:elevator_rotating:8, Rotating Elevator
openblocks:elevator_rotating:9, Rotating Elevator
openblocks:elevator_rotating:10, Rotating Elevator
openblocks:elevator_rotating:11, Rotating Elevator
openblocks:elevator_rotating:12, Rotating Elevator
openblocks:elevator_rotating:13, Rotating Elevator
openblocks:elevator_rotating:14, Rotating Elevator
openblocks:elevator_rotating:15, Rotating Elevator
openblocks:heal, Healer
openblocks:target, Target
openblocks:grave, Grave
openblocks:flag:5, Flag
openblocks:tank, Tank
openblocks:trophy, Trophy
openblocks:beartrap, Bear Trap
openblocks:sprinkler, Sprinkler
openblocks:cannon, Item Cannon
openblocks:vacuum_hopper, Vacuum Hopper
openblocks:sponge, Sponge
openblocks:big_button, Stone Big Button
openblocks:big_button_wood, Wooden Big Button
openblocks:imaginary:0, Magic Pencil
openblocks:imaginary:1, Magic Crayon
openblocks:imaginary:1, Magic Crayon
openblocks:imaginary:1, Magic Crayon
openblocks:imaginary:1, Magic Crayon
openblocks:imaginary:1, Magic Crayon
openblocks:imaginary:1, Magic Crayon
openblocks:imaginary:1, Magic Crayon
openblocks:imaginary:1, Magic Crayon
openblocks:imaginary:1, Magic Crayon
openblocks:imaginary:1, Magic Crayon
openblocks:imaginary:1, Magic Crayon
openblocks:imaginary:1, Magic Crayon
openblocks:imaginary:1, Magic Crayon
openblocks:imaginary:1, Magic Crayon
openblocks:imaginary:1, Magic Crayon
openblocks:imaginary:1, Magic Crayon
openblocks:fan, Fan
openblocks:xp_bottler, XP Bottler
openblocks:village_highlighter, Village Highlighter
openblocks:path, Path
openblocks:auto_anvil, Auto Anvil
openblocks:auto_enchantment_table, Auto Enchantment Table
openblocks:xp_drain, XP Drain
openblocks:block_breaker, Block Breaker
openblocks:block_placer, Block Placer
openblocks:item_dropper, Item Dropper
openblocks:rope_ladder, Rope Ladder
openblocks:donation_station, Donation Station
openblocks:paint_mixer, Paint Mixer
openblocks:canvas, Canvas
openblocks:paint_can, Paint Can
openblocks:canvas_glass, Canvas
openblocks:projector, Height Map Projector
openblocks:drawing_table, Drawing Table
openblocks:sky:0, Sky Block
openblocks:sky:1, Sky Block
openblocks:xp_shower, XP Shower
openblocks:golden_egg, Golden Egg
openblocks:scaffolding, Scaffolding
openblocks:hang_glider, Hang Glider
openblocks:generic:0, Glider Wing
openblocks:generic:1, Beam
openblocks:generic:2, Crane Engine
openblocks:generic:3, Crane Magnet
openblocks:generic:5, Line
openblocks:generic:6, Map Controller Module
openblocks:generic:7, Map Memory Module
openblocks:generic:9, Assistant's base
openblocks:generic:10, Unprepared Stencil
openblocks:generic:11, Sketching Pencil
openblocks:luggage, Luggage
openblocks:sonic_glasses, Sonic Glasses
openblocks:pencil_glasses:0, Pencil Glasses
openblocks:crayon_glasses:0, Crayon Glasses
openblocks:crayon_glasses:0, Crayon Glasses
openblocks:crayon_glasses:0, Crayon Glasses
openblocks:crayon_glasses:0, Crayon Glasses
openblocks:crayon_glasses:0, Crayon Glasses
openblocks:crayon_glasses:0, Crayon Glasses
openblocks:crayon_glasses:0, Crayon Glasses
openblocks:crayon_glasses:0, Crayon Glasses
openblocks:crayon_glasses:0, Crayon Glasses
openblocks:crayon_glasses:0, Crayon Glasses
openblocks:crayon_glasses:0, Crayon Glasses
openblocks:crayon_glasses:0, Crayon Glasses
openblocks:crayon_glasses:0, Crayon Glasses
openblocks:crayon_glasses:0, Crayon Glasses
openblocks:crayon_glasses:0, Crayon Glasses
openblocks:crayon_glasses:0, Crayon Glasses
openblocks:technicolor_glasses:0, Amazing Technicolor Glasses
openblocks:serious_glasses:0, Badass Glasses
openblocks:crane_control, Crane Control
openblocks:crane_backpack, Crane Backpack
openblocks:slimalyzer, Slimalyzer
openblocks:xp_bucket, XP Bucket
openblocks:sleeping_bag, Sleeping Bag
openblocks:paintbrush, Paint Brush
openblocks:stencil:0, Stencil
openblocks:stencil:1, Stencil
openblocks:stencil:2, Stencil
openblocks:stencil:3, Stencil
openblocks:stencil:4, Stencil
openblocks:stencil:5, Stencil
openblocks:stencil:6, Stencil
openblocks:stencil:7, Stencil
openblocks:stencil:8, Stencil
openblocks:stencil:9, Stencil
openblocks:stencil:10, Stencil
openblocks:stencil:11, Stencil
openblocks:stencil:12, Stencil
openblocks:stencil:13, Stencil
openblocks:stencil:14, Stencil
openblocks:squeegee, Squeegee
openblocks:empty_map, Empty Map
openblocks:cartographer:0, Cartographer
openblocks:tasty_clay, Tasty Clay
openblocks:golden_eye, Golden eye
openblocks:generic_unstackable:0, Pointer
openblocks:cursor, Cursor
openblocks:info_book, World Domination with OpenBlocks
openblocks:dev_null, /dev/null
openblocks:sponge_on_a_stick, Sponge
openblocks:pedometer, Pedometer
openblocks:epic_eraser, Epic Eraser
openblocks:wrench, Big Metal Bar
openblocks:glyph:32, ' ' Glyph
openblocks:glyph:48, '0' Glyph
openblocks:glyph:49, '1' Glyph
openblocks:glyph:50, '2' Glyph
openblocks:glyph:51, '3' Glyph
openblocks:glyph:52, '4' Glyph
openblocks:glyph:53, '5' Glyph
openblocks:glyph:54, '6' Glyph
openblocks:glyph:55, '7' Glyph
openblocks:glyph:56, '8' Glyph
openblocks:glyph:57, '9' Glyph
openblocks:glyph:65, 'A' Glyph
openblocks:glyph:66, 'B' Glyph
openblocks:glyph:67, 'C' Glyph
openblocks:glyph:68, 'D' Glyph
openblocks:glyph:69, 'E' Glyph
openblocks:glyph:70, 'F' Glyph
openblocks:glyph:71, 'G' Glyph
openblocks:glyph:72, 'H' Glyph
openblocks:glyph:73, 'I' Glyph
openblocks:glyph:74, 'J' Glyph
openblocks:glyph:75, 'K' Glyph
openblocks:glyph:76, 'L' Glyph
openblocks:glyph:77, 'M' Glyph
openblocks:glyph:78, 'N' Glyph
openblocks:glyph:79, 'O' Glyph
openblocks:glyph:80, 'P' Glyph
openblocks:glyph:81, 'Q' Glyph
openblocks:glyph:82, 'R' Glyph
openblocks:glyph:83, 'S' Glyph
openblocks:glyph:84, 'T' Glyph
openblocks:glyph:85, 'U' Glyph
openblocks:glyph:86, 'V' Glyph
openblocks:glyph:87, 'W' Glyph
openblocks:glyph:88, 'X' Glyph
openblocks:glyph:89, 'Y' Glyph
openblocks:glyph:90, 'Z' Glyph
openblocks:glyph:97, 'a' Glyph
openblocks:glyph:98, 'b' Glyph
openblocks:glyph:99, 'c' Glyph
openblocks:glyph:100, 'd' Glyph
openblocks:glyph:101, 'e' Glyph
openblocks:glyph:102, 'f' Glyph
openblocks:glyph:103, 'g' Glyph
openblocks:glyph:104, 'h' Glyph
openblocks:glyph:105, 'i' Glyph
openblocks:glyph:106, 'j' Glyph
openblocks:glyph:107, 'k' Glyph
openblocks:glyph:108, 'l' Glyph
openblocks:glyph:109, 'm' Glyph
openblocks:glyph:110, 'n' Glyph
openblocks:glyph:111, 'o' Glyph
openblocks:glyph:112, 'p' Glyph
openblocks:glyph:113, 'q' Glyph
openblocks:glyph:114, 'r' Glyph
openblocks:glyph:115, 's' Glyph
openblocks:glyph:116, 't' Glyph
openblocks:glyph:117, 'u' Glyph
openblocks:glyph:118, 'v' Glyph
openblocks:glyph:119, 'w' Glyph
openblocks:glyph:120, 'x' Glyph
openblocks:glyph:121, 'y' Glyph
openblocks:glyph:122, 'z' Glyph
opencomputers:adapter:0, Adapter
opencomputers:assembler:0, Electronics Assembler
opencomputers:cable:11250603, Cable
opencomputers:capacitor:0, Capacitor
opencomputers:case1:0, Computer Case (Tier 1)
opencomputers:case3:0, Computer Case (Tier 3)
opencomputers:case2:0, Computer Case (Tier 2)
opencomputers:chameliumblock:0, Block of Chamelium
opencomputers:charger:0, Charger
opencomputers:disassembler:0, Disassembler
opencomputers:diskdrive:0, Disk Drive
opencomputers:geolyzer:0, Geolyzer
opencomputers:hologram1:0, Hologram Projector (Tier 1)
opencomputers:hologram2:0, Hologram Projector (Tier 2)
opencomputers:keyboard:0, Keyboard
opencomputers:motionsensor:0, Motion Sensor
opencomputers:powerconverter:0, Power Converter
opencomputers:powerdistributor:0, Power Distributor
opencomputers:printer:0, 3D Printer
opencomputers:raid:0, Raid
opencomputers:redstone:0, Redstone I/O
opencomputers:relay:0, Relay
opencomputers:screen1:0, Screen (Tier 1)
opencomputers:screen3:0, Screen (Tier 3)
opencomputers:screen2:0, Screen (Tier 2)
opencomputers:rack:0, Rack
opencomputers:waypoint:0, Waypoint
opencomputers:casecreative:0, Computer Case (Creative)
opencomputers:microcontroller:0, Microcontroller
opencomputers:print:0, 3D Print
opencomputers:robotafterimage:0, Robot
opencomputers:robot:0, robot.name
opencomputers:endstone:0, End Stone
opencomputers:netsplitter:0, Net Splitter
opencomputers:transposer:0, Transposer
opencomputers:carpetedcapacitor:0, Carpeted Capacitor
opencomputers:material:1, Grog
opencomputers:material:10, Arithmetic Logic Unit (ALU)
opencomputers:material:15, Arrow Keys
opencomputers:material:14, Button Group
opencomputers:material:5, Card Base
opencomputers:material:28, Chamelium
opencomputers:material:3, Circuit Board
opencomputers:material:11, Control Unit (CU)
opencomputers:material:0, Cutting Wire
opencomputers:material:29, Diamond Chip
opencomputers:material:12, Disk Platter
opencomputers:material:23, Drone Case (Tier 1)
opencomputers:material:24, Drone Case (Tier 2)
opencomputers:material:25, Drone Case (Creative)
opencomputers:material:27, Ink Cartridge
opencomputers:material:26, Ink Cartridge (Empty)
opencomputers:material:13, Interweb
opencomputers:material:7, Microchip (Tier 1)
opencomputers:material:8, Microchip (Tier 2)
opencomputers:material:9, Microchip (Tier 3)
opencomputers:material:20, Microcontroller Case (Tier 1)
opencomputers:material:21, Microcontroller Case (Tier 2)
opencomputers:material:22, Microcontroller Case (Creative)
opencomputers:material:16, Numeric Keypad
opencomputers:material:4, Printed Circuit Board (PCB)
opencomputers:material:2, Raw Circuit Board
opencomputers:material:17, Tablet Case (Tier 1)
opencomputers:material:18, Tablet Case (Tier 2)
opencomputers:material:19, Tablet Case (Creative)
opencomputers:material:6, Transistor
opencomputers:tool:0, Analyzer
opencomputers:tool:1, Network Debugger
opencomputers:tool:4, OpenComputers Manual
opencomputers:tool:5, Nanomachines
opencomputers:tool:2, Remote Terminal
opencomputers:tool:3, Texture Picker
opencomputers:wrench, Scrench
opencomputers:hoverboots, Hover Boots
opencomputers:component:16, Accelerated Processing Unit (APU) (Tier 2)
opencomputers:component:17, Accelerated Processing Unit (APU) (Tier 3)
opencomputers:component:18, Accelerated Processing Unit (APU) (Creative)
opencomputers:component:3, Component Bus (Tier 1)
opencomputers:component:4, Component Bus (Tier 2)
opencomputers:component:5, Component Bus (Tier 3)
opencomputers:component:0, Central Processing Unit (CPU) (Tier 1)
opencomputers:component:1, Central Processing Unit (CPU) (Tier 2)
opencomputers:component:2, Central Processing Unit (CPU) (Tier 3)
opencomputers:component:20, Disk Drive
opencomputers:component:6, Memory (Tier 1)
opencomputers:component:7, Memory (Tier 1.5)
opencomputers:component:8, Memory (Tier 2)
opencomputers:component:9, Memory (Tier 2.5)
opencomputers:component:10, Memory (Tier 3)
opencomputers:component:11, Memory (Tier 3.5)
opencomputers:component:13, Server (Tier 1)
opencomputers:component:14, Server (Tier 2)
opencomputers:component:15, Server (Tier 3)
opencomputers:component:12, Server (Creative)
opencomputers:component:19, Terminal Server
opencomputers:card:10, Data Card (Tier 1)
opencomputers:card:11, Data Card (Tier 2)
opencomputers:card:12, Data Card (Tier 3)
opencomputers:card:0, Debug Card
opencomputers:card:1, Graphics Card (Tier 1)
opencomputers:card:2, Graphics Card (Tier 2)
opencomputers:card:3, Graphics Card (Tier 3)
opencomputers:card:8, Internet Card
opencomputers:card:9, Linked Card
opencomputers:card:6, Network Card
opencomputers:card:4, Redstone Card (Tier 1)
opencomputers:card:7, Wireless Network Card (Tier 2)
opencomputers:upgrade:32, Component Bus (Creative)
opencomputers:upgrade:0, Angel Upgrade
opencomputers:upgrade:1, Battery Upgrade (Tier 1)
opencomputers:upgrade:2, Battery Upgrade (Tier 2)
opencomputers:upgrade:3, Battery Upgrade (Tier 3)
opencomputers:upgrade:4, Chunkloader Upgrade
opencomputers:upgrade:5, Card Container (Tier 1)
opencomputers:upgrade:6, Card Container (Tier 2)
opencomputers:upgrade:7, Card Container (Tier 3)
opencomputers:upgrade:8, Upgrade Container (Tier 1)
opencomputers:upgrade:9, Upgrade Container (Tier 2)
opencomputers:upgrade:10, Upgrade Container (Tier 3)
opencomputers:upgrade:11, Crafting Upgrade
opencomputers:upgrade:12, Database Upgrade (Tier 1)
opencomputers:upgrade:13, Database Upgrade (Tier 2)
opencomputers:upgrade:14, Database Upgrade (Tier 3)
opencomputers:upgrade:15, Experience Upgrade
opencomputers:upgrade:16, Generator Upgrade
opencomputers:upgrade:27, Hover Upgrade (Tier 1)
opencomputers:upgrade:28, Hover Upgrade (Tier 2)
opencomputers:upgrade:17, Inventory Upgrade
opencomputers:upgrade:18, Inventory Controller Upgrade
opencomputers:upgrade:26, Leash Upgrade
opencomputers:upgrade:30, MFU
opencomputers:upgrade:19, Navigation Upgrade
opencomputers:upgrade:20, Piston Upgrade
opencomputers:upgrade:21, Sign I/O Upgrade
opencomputers:upgrade:22, Solar Generator Upgrade
opencomputers:upgrade:23, Tank Upgrade
opencomputers:upgrade:24, Tank Controller Upgrade
opencomputers:upgrade:25, Tractor Beam Upgrade
opencomputers:upgrade:29, Trading Upgrade
opencomputers:upgrade:31, Wireless Network Card (Tier 1)
opencomputers:storage:0, EEPROM
opencomputers:storage:1, Floppy Disk
opencomputers:storage:2, Hard Disk Drive (Tier 1) (1MB)
opencomputers:storage:3, Hard Disk Drive (Tier 2) (2MB)
opencomputers:storage:4, Hard Disk Drive (Tier 3) (4MB)
opencomputers:misc:1, Crecopter
opencomputers:misc:0, Microcontroller
opencomputers:misc:0, Creatix
opencomputers:misc:0, Tablet
opencomputers:misc:0, Hover Boots
opencomputers:misc:0, EEPROM (Lua BIOS)
thermalexpansion:machine:0, Redstone Furnace (Basic)
thermalexpansion:machine:1, Pulverizer (Basic)
thermalexpansion:machine:2, Sawmill (Basic)
thermalexpansion:machine:3, Induction Smelter (Basic)
thermalexpansion:machine:4, Phytogenic Insolator (Basic)
thermalexpansion:machine:5, Compactor (Basic)
thermalexpansion:machine:6, Magma Crucible (Basic)
thermalexpansion:machine:7, Fractionating Still (Basic)
thermalexpansion:machine:8, Fluid Transposer (Basic)
thermalexpansion:machine:9, Energetic Infuser (Basic)
thermalexpansion:machine:10, Centrifugal Separator (Basic)
thermalexpansion:machine:11, Sequential Fabricator (Basic)
thermalexpansion:machine:12, Alchemical Imbuer (Basic)
thermalexpansion:machine:13, Arcane Ensorcellator (Basic)
thermalexpansion:machine:14, Glacial Precipitator (Basic)
thermalexpansion:machine:15, Igneous Extruder (Basic)
thermalexpansion:device:0, Aqueous Accumulator
thermalexpansion:device:1, Nullifier
thermalexpansion:device:2, Thermal Mediator
thermalexpansion:device:3, Arboreal Extractor
thermalexpansion:device:4, Aquatic Entangler
thermalexpansion:device:5, Item Allocator
thermalexpansion:device:6, Fluid Allocator
thermalexpansion:device:7, Lexical Transmuter
thermalexpansion:device:8, Insightful Condenser
thermalexpansion:device:9, Decoctive Diffuser
thermalexpansion:device:10, Factorizer
thermalexpansion:device:11, Creature Encaptulator
thermalexpansion:device:12, Vacuumulator
thermalexpansion:dynamo:0, Steam Dynamo (Basic)
thermalexpansion:dynamo:1, Magmatic Dynamo (Basic)
thermalexpansion:dynamo:2, Compression Dynamo (Basic)
thermalexpansion:dynamo:3, Reactant Dynamo (Basic)
thermalexpansion:dynamo:4, Enervation Dynamo (Basic)
thermalexpansion:dynamo:5, Numismatic Dynamo (Basic)
thermalexpansion:cell:0, Energy Cell (Basic)
thermalexpansion:tank:0, Portable Tank (Basic)
thermalexpansion:cache:0, Cache (Basic)
thermalexpansion:strongbox:0, Strongbox (Basic)
thermalexpansion:capacitor:0, Flux Capacitor (Basic)
thermalexpansion:capacitor:1, Flux Capacitor (Hardened)
thermalexpansion:capacitor:2, Flux Capacitor (Reinforced)
thermalexpansion:capacitor:3, Flux Capacitor (Signalum)
thermalexpansion:capacitor:4, Flux Capacitor (Resonant)
thermalexpansion:capacitor:32000, Flux Capacitor (Creative)
thermalexpansion:reservoir:0, Reservoir (Basic)
thermalexpansion:reservoir:1, Reservoir (Hardened)
thermalexpansion:reservoir:2, Reservoir (Reinforced)
thermalexpansion:reservoir:3, Reservoir (Signalum)
thermalexpansion:reservoir:4, Reservoir (Resonant)
thermalexpansion:reservoir:32000, Reservoir (Creative)
thermalexpansion:satchel:0, Satchel (Basic)
thermalexpansion:satchel:1, Satchel (Hardened)
thermalexpansion:satchel:2, Satchel (Reinforced)
thermalexpansion:satchel:3, Satchel (Signalum)
thermalexpansion:satchel:4, Satchel (Resonant)
thermalexpansion:satchel:100, Satchel (Void)
thermalexpansion:satchel:32000, Satchel (Creative)
thermalexpansion:frame:0, Machine Frame
thermalexpansion:frame:64, Device Frame
thermalexpansion:frame:128, Energy Cell Frame
thermalexpansion:frame:129, Hardened Cell Frame
thermalexpansion:frame:130, Reinforced Cell Frame (Empty)
thermalexpansion:frame:131, Signalum Cell Frame (Empty)
thermalexpansion:frame:132, Resonant Cell Frame (Empty)
thermalexpansion:frame:146, Reinforced Cell Frame (Full)
thermalexpansion:frame:147, Signalum Cell Frame (Full)
thermalexpansion:frame:148, Resonant Cell Frame (Full)
thermalexpansion:augment:128, Augment: Auxiliary Reception Coil
thermalexpansion:augment:129, Augment: Auxiliary Sieve
thermalexpansion:augment:130, Augment: Nullification Chamber
thermalexpansion:augment:256, Augment: Trivection Chamber
thermalexpansion:augment:257, Augment: Flux Anodizers
thermalexpansion:augment:258, Augment: Pyrolytic Conversion
thermalexpansion:augment:273, Augment: Tectonic Initiator
thermalexpansion:augment:288, Augment: Resin Funnel
thermalexpansion:augment:303, Augment: Metallurgical Recovery
thermalexpansion:augment:304, Augment: Pyro-Concentrator
thermalexpansion:augment:320, Augment: Nutrient Recovery
thermalexpansion:augment:323, Augment: Sapling Infuser
thermalexpansion:augment:324, Augment: Monoculture Cycle
thermalexpansion:augment:336, Augment: Numismatic Press
thermalexpansion:augment:337, Augment: Gearworking Die
thermalexpansion:augment:352, Augment: Pyroconvective Loop
thermalexpansion:augment:368, Augment: Reflux Column
thermalexpansion:augment:369, Augment: Alchemical Retort
thermalexpansion:augment:400, Augment: Flux Linkage Concentrator
thermalexpansion:augment:401, Augment: Flux Reconstruction
thermalexpansion:augment:402, Augment: Parabolic Flux Coupling
thermalexpansion:augment:416, Augment: Enstabulation Apparatus
thermalexpansion:augment:432, Augment: Pattern Validation
thermalexpansion:augment:433, Augment: Fluidic Fabrication
thermalexpansion:augment:448, Augment: Reagent Recovery
thermalexpansion:augment:496, Augment: Pyroclastic Injection
thermalexpansion:augment:497, Augment: Clastic Deposition
thermalexpansion:augment:512, Augment: Auxiliary Transmission Coil
thermalexpansion:augment:513, Augment: Fuel Catalyzer
thermalexpansion:augment:514, Augment: Transmission Coil Ducting
thermalexpansion:augment:515, Augment: Excitation Field Limiter
thermalexpansion:augment:576, Augment: Boiler Conversion
thermalexpansion:augment:640, Augment: Turbine Conversion
thermalexpansion:augment:656, Augment: Isentropic Reservoir
thermalexpansion:augment:672, Augment: Closed-Loop Cooling
thermalexpansion:augment:673, Augment: Ignition Plugs
thermalexpansion:augment:674, Augment: Agitative Manifold
thermalexpansion:augment:688, Augment: Elemental Catalyzer
thermalexpansion:augment:704, Augment: Disjunctive Extraction
thermalexpansion:augment:720, Augment: Lapidary Calibration
thermalexpansion:florb:0, Florb (Empty§r)
thermalexpansion:florb:1, Magmatic Florb (Empty§r)
thermalexpansion:morb:0, Morb (Empty§r)
thermalexpansion:morb:1, Reusable Morb (Empty§r)
sgcraft:stargatering:0, Stargate Ring Block
sgcraft:stargatering:1, Stargate Chevron Block
sgcraft:stargatebase, Stargate Base
sgcraft:stargatecontroller, Stargate Controller
sgcraft:naquadahblock, Naquadah Alloy Block
sgcraft:naquadahore, Naquadah Ore
sgcraft:sgpowerunit, SG Power Unit
sgcraft:zpm_console, ZPM Console
sgcraft:naquadah, Naquadah
sgcraft:naquadahingot, Naquadah Alloy Ingot
sgcraft:sgcorecrystal, Stargate Core Crystal
sgcraft:sgcontrollercrystal, Stargate Controller Crystal
sgcraft:sgchevronupgrade, Stargate Chevron Upgrade
sgcraft:sgirisupgrade, Stargate Iris Upgrade
sgcraft:sgirisblade, Stargate Iris Blade
sgcraft:zpm, Zero Point Module
sgcraft:tollan_phase_shift_device, Tollan Phase Shift Device
sgcraft:pegasus_upgrade, Pegasus Type Upgrade Crystal
sgcraft:ocinterface, OpenComputers Stargate Interface
thermalcultivation:watering_can:0, Watering Can (Basic)
thermalcultivation:watering_can:1, Watering Can (Hardened)
thermalcultivation:watering_can:2, Watering Can (Reinforced)
thermalcultivation:watering_can:3, Watering Can (Signalum)
thermalcultivation:watering_can:4, Watering Can (Resonant)
thermalcultivation:watering_can:32000, Watering Can (Creative)
thermaldynamics:duct_0:0, Leadstone Fluxduct
thermaldynamics:duct_0:1, Hardened Fluxduct
thermaldynamics:duct_0:2, Redstone Energy Fluxduct
thermaldynamics:duct_0:3, Signalum Fluxduct
thermaldynamics:duct_0:4, Resonant Fluxduct
thermaldynamics:duct_0:5, Cryo-Stabilized Fluxduct
thermaldynamics:duct_0:6, Redstone Energy Fluxduct (Empty)
thermaldynamics:duct_0:7, Signalum Fluxduct (Empty)
thermaldynamics:duct_0:8, Resonant Fluxduct (Empty)
thermaldynamics:duct_0:9, Cryo-Stabilized Fluxduct (Empty)
thermaldynamics:duct_16:0, Fluiduct
thermaldynamics:duct_16:1, Fluiduct (Opaque)
thermaldynamics:duct_16:2, Hardened Fluiduct
thermaldynamics:duct_16:3, Hardened Fluiduct (Opaque)
thermaldynamics:duct_16:4, Signalum-Plated Fluiduct
thermaldynamics:duct_16:5, Signalum-Plated Fluiduct (Opaque)
thermaldynamics:duct_16:6, Super-Laminar Fluiduct
thermaldynamics:duct_16:7, Super-Laminar Fluiduct (Opaque)
thermaldynamics:duct_32:0, Vacuum Itemduct
thermaldynamics:duct_32:0, Dense Itemduct
thermaldynamics:duct_32:0, Itemduct
thermaldynamics:duct_32:1, Vacuum Itemduct (Opaque)
thermaldynamics:duct_32:1, Dense Itemduct (Opaque)
thermaldynamics:duct_32:1, Itemduct (Opaque)
thermaldynamics:duct_32:2, Vacuum Impulse Itemduct
thermaldynamics:duct_32:2, Dense Impulse Itemduct
thermaldynamics:duct_32:2, Impulse Itemduct
thermaldynamics:duct_32:3, Vacuum Impulse Itemduct (Opaque)
thermaldynamics:duct_32:3, Dense Impulse Itemduct (Opaque)
thermaldynamics:duct_32:3, Impulse Itemduct (Opaque)
thermaldynamics:duct_32:4, Vacuum Signalum-Plated Itemduct
thermaldynamics:duct_32:4, Dense Signalum-Plated Itemduct
thermaldynamics:duct_32:4, Signalum-Plated Itemduct
thermaldynamics:duct_32:5, Vacuum Signalum-Plated Itemduct (Opaque)
thermaldynamics:duct_32:5, Dense Signalum-Plated Itemduct (Opaque)
thermaldynamics:duct_32:5, Signalum-Plated Itemduct (Opaque)
thermaldynamics:duct_32:6, Vacuum Signalum-Plated Impulse Itemduct
thermaldynamics:duct_32:6, Dense Signalum-Plated Impulse Itemduct
thermaldynamics:duct_32:6, Signalum-Plated Impulse Itemduct
thermaldynamics:duct_32:7, Vacuum Signalum-Plated Impulse Itemduct (Opaque)
thermaldynamics:duct_32:7, Dense Signalum-Plated Impulse Itemduct (Opaque)
thermaldynamics:duct_32:7, Signalum-Plated Impulse Itemduct (Opaque)
thermaldynamics:duct_48:0, Structuralduct
thermaldynamics:duct_64:0, Viaduct
thermaldynamics:duct_64:1, Long Range Viaduct
thermaldynamics:duct_64:2, Long Range Linking Viaduct
thermaldynamics:duct_64:3, Viaduct (Untreated)
thermaldynamics:servo:0, Servo
thermaldynamics:servo:1, Hardened Servo
thermaldynamics:servo:2, Reinforced Servo
thermaldynamics:servo:3, Signalum Servo
thermaldynamics:servo:4, Resonant Servo
thermaldynamics:filter:0, Filter
thermaldynamics:filter:1, Hardened Filter
thermaldynamics:filter:2, Reinforced Filter
thermaldynamics:filter:3, Signalum Filter
thermaldynamics:filter:4, Resonant Filter
thermaldynamics:retriever:0, Retriever
thermaldynamics:retriever:1, Hardened Retriever
thermaldynamics:retriever:2, Reinforced Retriever
thermaldynamics:retriever:3, Signalum Retriever
thermaldynamics:retriever:4, Resonant Retriever
thermaldynamics:relay:0, Redstone Relay
thermaldynamics:cover:0, Stone Cover
thermaldynamics:cover:0, Granite Cover
thermaldynamics:cover:0, Polished Granite Cover
thermaldynamics:cover:0, Diorite Cover
thermaldynamics:cover:0, Polished Diorite Cover
thermaldynamics:cover:0, Andesite Cover
thermaldynamics:cover:0, Polished Andesite Cover
thermaldynamics:cover:0, Grass Block Cover
thermaldynamics:cover:0, Dirt Cover
thermaldynamics:cover:0, Coarse Dirt Cover
thermaldynamics:cover:0, Podzol Cover
thermaldynamics:cover:0, Cobblestone Cover
thermaldynamics:cover:0, Oak Wood Planks Cover
thermaldynamics:cover:0, Spruce Wood Planks Cover
thermaldynamics:cover:0, Birch Wood Planks Cover
thermaldynamics:cover:0, Jungle Wood Planks Cover
thermaldynamics:cover:0, Acacia Wood Planks Cover
thermaldynamics:cover:0, Dark Oak Wood Planks Cover
thermaldynamics:cover:0, Bedrock Cover
thermaldynamics:cover:0, Sand Cover
thermaldynamics:cover:0, Red Sand Cover
thermaldynamics:cover:0, Gravel Cover
thermaldynamics:cover:0, Gold Ore Cover
thermaldynamics:cover:0, Iron Ore Cover
thermaldynamics:cover:0, Coal Ore Cover
thermaldynamics:cover:0, Oak Wood Cover
thermaldynamics:cover:0, Spruce Wood Cover
thermaldynamics:cover:0, Birch Wood Cover
thermaldynamics:cover:0, Jungle Wood Cover
thermaldynamics:cover:0, Oak Leaves Cover
thermaldynamics:cover:0, Spruce Leaves Cover
thermaldynamics:cover:0, Birch Leaves Cover
thermaldynamics:cover:0, Jungle Leaves Cover
thermaldynamics:cover:0, Sponge Cover
thermaldynamics:cover:0, Wet Sponge Cover
thermaldynamics:cover:0, Glass Cover
thermaldynamics:cover:0, Lapis Lazuli Ore Cover
thermaldynamics:cover:0, Lapis Lazuli Block Cover
thermaldynamics:cover:0, Sandstone Cover
thermaldynamics:cover:0, Chiseled Sandstone Cover
thermaldynamics:cover:0, Smooth Sandstone Cover
thermaldynamics:cover:0, White Wool Cover
thermaldynamics:cover:0, Orange Wool Cover
thermaldynamics:cover:0, Magenta Wool Cover
thermaldynamics:cover:0, Light Blue Wool Cover
thermaldynamics:cover:0, Yellow Wool Cover
thermaldynamics:cover:0, Lime Wool Cover
thermaldynamics:cover:0, Pink Wool Cover
thermaldynamics:cover:0, Gray Wool Cover
thermaldynamics:cover:0, Light Gray Wool Cover
thermaldynamics:cover:0, Cyan Wool Cover
thermaldynamics:cover:0, Purple Wool Cover
thermaldynamics:cover:0, Blue Wool Cover
thermaldynamics:cover:0, Brown Wool Cover
