//*   Les lignes de dialogue commence par un code du style "v2;30;"  qui précise qui parle et à quel moment le dialogue peut être lu. S'il vous plait, recopier exactement ce code dans vos traductions.
//*   La première moitié de la ligne (avant le /) est la langue d'origine des villageois et doit donc rester tel quel, et la seconde moitié doit être traduite.
newchat;key:talking6,v1:male,v2:male,v1:adult,v2:adult,weigth:15
v1;0;Megáli trofímon, megála opla, megáli téchni - afto eínai o, ti eínai to éthnos mas! / De la bonne nourriture, des bonnes armes, un bel art - C'est ce pourquoi nous sommes une nation !
v2;30;Kai kalo krasí! / Et du vin excellent !

newchat;key:talking7,v1:male,v2:male,v1:adult,v2:adult,v1:hasspouse,v2:hasspouse,weigth:15
v1;0;Echo varetheí ti sýzygo mou. Thélo na écho éna kainoúrgio! / J'en ai marre de ma femme. Je dois en changer !
v2;30;Poios den échei? / Qui n'est pas fatigué de la sienne ?
v1;60;Ísos prépei na afísoume xafniká to chorio kai sti synécheia na psáxoume gia néa! / Peut être devrions-nous quitter le village à la recherche de nouvelles épouses !
v2;90;Nai! Oi Mágia kai oi Indoí échoun tétoies omorfes gynaíkes, échete dei? / Oh oui ! Les Mayas, et les Indiens ont de très belles femmes, tu sais ?
v2;140;Allá ... To chorio chánetai chorís emás. / Ce village est perdu sans nous.
v2;160;Kai min xechnáte ta paidiá mas! / et n'oublions pas nos mômes !
v1;180;Urgh! Ta paidiá mas! Den tha epiviosei chorís patéra! / Arg ! Nos enfants ! Ils ne survivraient pas sans père!
v1;220;Allá ... afto den simaínei oti prépei na synechísoume me varetí zoí mas edo? / Mais... Cela veut dire que nous devons rester ici, avec notre vie ennuyeuse ?
v2;255;Ypothéto oti aftos eínai o kalýteros tropos na páei. / Je crois que c'est le meilleur chemin à suivre.

newchat;key:talking8,v1:male,v2:male,v1:adult,v2:adult,v2:vtype:silkfarmer_byzantine,weigth:15
v1;0;Eínai apístefto poso leptomerí matiá eikones sas. / c'est assez fascinant de voir comment vous regardez ces icônes.
v2;30;Fysiká, dedoménou oti eínai megáli romaïkí téchni! / Bien sûr, C'est du grand art Romain !
v1;60;Opos kai o, ti kánoume. Koitáxte omorfa spítia mas! / Comme tout ce que nous faisons. Regarde nos magnifiques maisons !
v2;90;Kai min xechnáte éndoxi istoría mas! / Et n'oublie pas notre glorieuse histoire !

newchat;key:talking9,v1:male,v2:male,v1:adult,v2:adult,weigth:15
v1;0;Thymáste to korítsi pou polémisan páno stin paidikí ilikía mas? / Te souviens-tu de cette fille pour qui nous nous battions quand on était jeunes?
v2;30; Nai ... Ítan mia polý kakí stigmí. Kalí oti eínai páno. / Oui... C'était une mauvaise période. Heureux que cela soit terminé.
v1;60;Chaíromai pou to akoúo, giatí mou eípe aplá oti mou árese pánta! / Je suis heureux de t'entendre dire ça, parce qu'elle vient juste de me dire qu'elle m'aimait toujours !
v2;90;Ti? Afto den eínai alítheia! / Quoi ? Menteur !

newchat;key:flirt1,v1:male,v2:female,v1:adult,v2:adult,v1:hasspouse,v2:nospouse,notrel:sibling,notrel:child,notrel:parent,weigth:5
v1;0;Geia sou omorfiá, sas arései afto pou vlépete? / Hé beauté, je te plait ?
v2;20;*chastoúki* / *sbaf*
v2;25;Échete mia gynaíka. / Tu es marié.

newchat;key:flirt2,v1:male,v2:female,v1:adult,v2:adult,notrel:sibling,notrel:child,notrel:parent,weigth:5
v1;0;Geia sou, koitás polý oraía símera $targetfirstname! / Hé, tu sembles vraiment en forme aujourd'hui $targetfirstname !
v2;30;Sas efcharisto! / Merci !
v1;60;Opos pánta, agapité mou! / De rien, ma chère !

newchat;key:flirt3,v1:male,v2:female,v1:adult,v2:adult,v1:hasspouse,v2:hasspouse,notrel:sibling,notrel:child,notrel:parent,weigth:5
v1;0;Hey $targetfirstname, kánei mia omorfiá opos eseís thélete eínai éna omorfos ántras san ki eména? / Hé, $targetfirstname, est-ce qu'une beauté comme toi souhaite un homme serviable comme moi ?
v2;40;Eíste pantreménos, kai eímai toso kalá. / Tu es marié, et je le suis également.
v2;60;Ypothéto oti den eíste pistoí! Tha po sti gynaíka sas! / Je pense que tu n'es pas très fidèle ! j'en parlerai à ta femme !
v1;75;OCHI - Min kánete tha- / NON - tu ne le feras pas -
v1;85;Eímai kako dídymo adelfo tou! / Je ne suis pas celui que tu penses, je suis son jumeau maléfique !
v2;120;Fysiká eíste! To ídio kako dídymo pou eínai pánta methysménos! / Bien sûr que tu l'es, le même jumeau maléfique qui est toujours saoûl !

newchat;key:flirt4,v1:male,v2:female,v1:adult,v2:adult,notrel:sibling,notrel:child,notrel:parent,weigth:10
v1;0;Pos tha me gynaíka-ta prágmatá sas? / Comment se passe votre rôle de femme au foyer ?
v2;30;Kalí kalí, ektos apo tin aísthisi lígo áschima ... / Bien, bien, je suis juste un peu triste.
v1;60;O, ochi, ti synévi? / Oh non, que s'est-il passé?
v2;90;O sýzygos mou moú fonaxe. / Mon mari m'a crié dessus.
v1;120;Pos boreí o ídios se mia tétoia omorfiá? / Comment peut-il faire cela, devant pareille beauté ?
v2;150;Sas efcharistoúme gia epeffimíes mou epáno, $targetfirstname! / Merci de me remonter le moral, $targetfirstname!

newchat;key:flirt5,v1:male,v2:female,v1:adult,v2:adult,notrel:sibling,notrel:child,notrel:parent,weigth:10
v2;0;*urgh*
v1;30;Eísai entáxei, $targetfirstname? / Ça va, $targetfirstname?
v2;50;Nai, afto eínai mono i sklirí douleiá! / Oui, je suis fatiguée par le labeur.
v1;70;Boro na sas voithíso? Tha aisthantheíte kalýtera sti synécheia? / Puis-je t'aider ? Peut-être que tu te sentira mieux ?
v2;90;Fysiká! Sas efcharistoúme! / Bien sûr ! Merci infiniment !

newchat;key:flirt6,v1:male,v2:female,v1:adult,v2:adult,,weigth:10
v1;0;Pos páei? / Comment ça se passe ?
v2;30;Ola eínai mia chará, ti gia sas? / Tout va bien, et vous ?
v1;60;Eínai pára polý! Efcharisto gia tin erotisi. / Egalement, merci de demander !
v1;75;Allá vlépo oti ypárchei káti pou sas enochleí! / Mais je vois qu'il y a quelque chose qui vous tracasse !
v2;90;Eínai - típota. / Il n'y a - rien.
v1;110;Parakalo peíte mou! / Dites-moi !
v2;130;Eínai mono oti i zoí mou edo eínai toso varetí. / C'est seulement que ma vie est si terne ici.
v2;160;Efchomai pragmatiká eícha apofasísei na páei se mia poli otan ímoun néos! / Je souhaitais vraiment me décider à aller en ville lorsque j'étais jeune.

newchat;key:brothertalk1,v1:male,v1:adult,v2:male,v2:adult,rel:sibling,weigth:10
v1;0;Adelfos $targetfirstname, eínai kalo na sas doúme! / $targetfirstname, Mon frère! c'est bon de te voir !
v1;30;Vríka ton palio xýlino spathí mas! / je viens juste de retrouver ma vieille épée en bois !
v1;50;Thymáste? / Tu te souviens ?
v2;80;Periménete! Eínai afto to xífos tou patéra mas, mas édose? / Attends, ne serait-ce pas l'épée que père nous avait donnée ?
v1;110;Eínai! Thymáste tous agones mas me afto? / C'est ça ! Te souviens-tu de nos batailles avec ?
v2;140;Pos tha boroúsa na xecháso! Exakoloutho na écho kápoia simádia. / Comment oublier ? J'en garde quelques cicatrices.
v2;170;An skéfteste perissotero gi 'afto ... / Pendant que j'y pense...
v2;200;Ítan to eídos tis sklirís tou patéra mas gia na mas dosei mono éna spathí! / C'était cruel de la part de notre père de nous donner une seule épée pour deux !
v2;240;Íxere oti tha agonistoúme gia afto! / Il savait qu'on allait se battre pour l'avoir !
v1;270;Ypothéto oti eínai entáxei! / Et il avait raison !
v2;300;Epeidí to krátisa! / Parce que tu l'as gardée !

newchat;key:sistertalk1,v1:female,v1:adult,v2:female,v2:adult,rel:sibling,weigth:10
v1;0;Thymáste ton iníocho pou agápise toso polý stin paidikí ilikía mas? / Te souviens-tu de ce charetier que nous aimions temps dans notre enfance ?
v2;30;Apo tin adelfí poreía. Ímastan oi megalýteroi opadoí! / Bien sûr ma soeur. Nous étions ses plus grandes admiratrices !
v1;60;Anarotiémai ti synévi s 'afton. / Je me demande ce qu'il est advenu de lui.
v1;90;Tha akoúsei típota gi 'afton pia ... / je n'ai plus jamais entendu parler de lui...
v2;120;Eínai pithanon enkatastáthikan s 'éna chorio san ti dikí mas kai eíche mia sýzygo kai ta paidiá. / Il devrait s'installer dans un village comme le nôtre, avoir une femme et des enfants.
v1;150;Télos pánton exakoloutho na elpízo na ton synantíso kápoia stigmí! / Bref, J'aimerai bien le revoir de temps en temps !
v2;180;Ki ego! / Moi aussi!

newchat;key:brothersister,v1:male,v1:adult,v2:female,v2:adult,v2:hasspouse,rel:sibling,weigth:10
v1;0;$targetfirstname, i adelfí mou, pánta íthela na mátho giatí pantréftike afto to trántagma. / $targetfirstname, ma fille, Je me demande toujours pourquoi tu veux te marrier avec cet imbécile.
v2;30;Epeidí ton agapo! / Parce que je l'aime !
v1;60;Kai tora to onomá sas eínai $targetlastname. $targetlastname! Akoúgetai toso kako! / Et maintenant ton nom est $targetlastname ! $targetlastname ! C'est moche comme nom !
v2;90;Hey! Min simaínei étsi! Ítan eseís pou xekínise i sýnkrousi. / Hé! Ne soit pas si mauvais ! C'est toi qui a amorcé le conflit.
v2;110;Tha ítan methysménos! / Tu as bu !

newchat;key:seljuks,v1:adult,v2:adult,weigth:10
v1;0;Échete akoúsei gia tous Seljuks apó ti stigmí pou ftásame edó? / As tu entendu parler des Seljuks depuis que nous sommes arrivés?
v2;30;Óchi, den to écho nomísei óti írthan mazí mas se aftí ti gi? / Non, pense tu qu'ils soit vennus avec nous?
v1;60;Amfivállo, échoume ídi akoúsei apó anthrópous pou den gnorízame óti ypírchan. / J'en doute.
v2;90;Ypothéto óti prépei na kánoume néous echthroús se aftí ti gi. / J'immagine que nous allons devoir nous faire des ennemis ici aussi.
v1;120;Échoume akóma tous Normandoús na antimetopísoun. / Nous devons encore nous occuper des Normands.
v2;150;Loipón, eímaste Romaíoi! Boroúme éfkola na nikísoume tétoious epidromeís, sti Rómi! / Eh bien, nous sommes des Romains! Nous pouvons facillement éliminer ces bandits, A ROME!
v1;165;Sti Rómi! / To Rome!

newchat;key:normans,v1:adult,v2:adult,weigth:6
v1;0;Akoúsate gia to kontinó chorió Norman? / As tu entendu parler du village Normand à proximité?
v2;30;Aftó den eínai kaló, thymámai óti synéchizan na epitíthentai sti nótia Italía protoú ftásoume edó. / Ce n'est pas bon, je me souvient qu'ils attaquaient le sud de l'Italie avant que nous venions ici.
v1;60;As elpísoume óti den tha mas epitethoún. / Espérons qu'ils ne nous attaquent pas.
v2;90;Elpízo kai egó. / Espérons.

newchat;key:constantinople,v1:adult,v2:adult,weigth:9
v1;0;Anarotiémai ti synévi stin Konstantinoúpoli? / Je me demande ce qui est arrivé a Constantinople?
v2;30;Nomízo óti írthe edó mazí mas se aftí ti néa gi. / Je pense qu'elle est tvennue avec nous sur cette terre.
v1;60;Giatí to pistéveis aftó? / Pourquoi pense tu cela?
v2;90;Ézisa kontá sti megáli póli kai me odígisan edó. / J'ai vécu prés de cette ville, et je suis venu ici.
v1;120;Eínai alítheia, allá échei tósous polloús anthrópous. Tha to eíchame akoúsei méchri tóra. / C'est vrai, mais téllement de personnes y vivent, on aurais du en entendre parler.
v2;150;Tha boroúse na eínai polý makriá. / Elle pourrait ètre trés loin.
v1;180;Nai, allá i dóxa kai i megaloprépeia tis Konstantinoúpolis ítan tóso megáli pou akómi kai ánthropoi stin Kína ákousan gi 'aftó. / Oui mais la gloire de Constantinople est si grande que même les chinois ont du en entendre parler.
v2;210;Mi mou peíte óti pistévete se aftés tis istoríes gia tin Kína? / Ne me dit pas que tu croit ces rumeurs sur la Chine?
v1;240;Pistévo óti ypárchei kápoia alítheia se aftá. / je pense qu'une partie est vraie.
v2;270;Allá ypárchei tósa pollá mystíria gia tin Kína pou den boroúme na ypothésoume an ypárchei kápoia alítheia se aftá. / Mais la Chine est si mystérieuse, on ne peut ètre sur de rien.
v1;300;Ypárchei tósa pollá mystíria an i Konstantinoúpoli eínai edó, étsi den boroúme na to ypothésoume. / Il y a aussi tant de mystéres si constantinople est ici qu'on ne peut savoir.
v2;330;Loipón, nai, allá akóma ki an i Konstantinoúpoli den eínai edó. Prépei na megalósoume kai na prostatépsoume ti Romaïkí Aftokratoría. / En effet, mais même si Constantinople n'est pas ici, nous devons agrandir et proteger l'empire Romain.
v1;360;Tóra boró na symfoníso mazí sas gia aftó! / Pour cela je suis d'accord avec toi!
v2;390;Máios Rómi diarkeí gia pánta! / Puisse Romme ètre étrenelle.!

newchat;key:inuit,v1:adult,v2:adult,weigth:10
v1;0;Norítera, miloúsa me énan vyzantinó émporo kai mou eípe gia choriá makriná sto chióni. / Un peu plus tôt, je parlais à un commerçant Byzantin et il m'a parlé de villages situés très loin dans la neige.
v2;30;Choriá sto chióni? /  Des villages dans la neige ?!?
v1;60;Nai, onomázontai "Inuit". / Ouai, ils sont appelés "Inuit".
v2;90;Inuit? Ti paráxeno ónoma, ti ítan?/ Inuit? Quel nom étrange... À quoi ressemblent-ils ?
v1;120;O émporos eípe óti den pistévoun se chrímata. /  Le commerçant m'a dit qu'ils ne croient pas à l'argent.
v2;150;Min pistévete sta chrímata ?! Pós tha boroúsan na zísoun? / Ils ne croient pas à l'argent ?! Comment font-ils pour vivre dans ce cas ?
v1;180;Óloi moirástikan ta pánta exísou. Ékane polý dýskoli ti diapragmátefsi mazí tous. / Ils se partagent juste les choses équitablement. Cela rend les échanges avec eux plutôt difficile...
v2;210;Kakí émporos. Touláchiston eínai píso sti Romaïkí Aftokratoría, makriá apó aftoús tous várvarous. / Pauvre commerçant... Mais bon, il est de retour dans l'Empire Romain, loin de ces barbares!
v1;240;Symfonó! I Romaïkí Aftokratoría eínai i kalýteri gi gia empório! / Je suis d'accord avec toi! L'Empire Romain est le meilleur endroit pour échanger !

newchat;key:soldiers2,v1:adult,v1:male,v1:vtype:soldier_byzantine,v2:adult,v2:male,v2:vtype:soldier_byzantine,weigth:3
v1;0;Elpízo óti den tha chreiasteí na vgoúme éxo kai na polemísoume opoiondípote várvaro ópote sýntoma. / J'espère que nous n'allons pas devoir aller combattre des barbares de nouveau.
v2;30;Ti? Eímaste stratiótes, i douleiá mas eínai na vgoúme éxo kai na skotósoume várvarous. Giatí tha beíte ston strató an den sas arései na agonízeste? / Quoi ? Nous sommes des soldats, c'est notre vocation d'aller tuer des barbares ! Pourquoi rejoindre l'armée si tu n'aime pas te battre ?
v1;60;Skéftika óti o stratiótis tha ítan efkolóteros, to móno pou perímena na káno eínai na stamatíso kai na skotóso lígous óchlous kai to peristasiakó várvaro. Allá tóra ótan skotóno éna várvaro, koitázo to prósopó tou kai skéftomai, "Ísos den prépei na skotónoume aftoús tous anthrópous". / Je pensais que ça serait facile d'être soldat - tuer quelques mobs et un barbare de temps en temps. Mais maintenant quand j'en tue un, je regarde son visage et me dis, "peut être que nous ne devrions pas les tuer."
v2;120;Skéftesai pára polý! Vgeíte éxo kai skotóste várvarous gia ti Rómi. Tha mas skotósoun kai tha katastrépsoun ta spítia mas! Eínai móno asyneíditoi ágrioi. / Tu réfléchis trop ! Vas tuer des barbares pour Rome. Sinon ils nous tuerons et détruirons nos foyers ! Ce ne sont que des sauvages.
v1;150;Synantísate aftoús tous anthrópous pou kirýttete na skotónete? Óchi, den échete, ísos eínai diaforetikoí apó aftó pou mas eípan. / As tu rencontré ces gens que tu veux massacrer ? Non ! Ils sont peut être différents de ce qu'on nous a dit.
v2;180;Eínai alítheia óti tha boroúsan na eínai polý cheirótera. / C'est vrai, ils sont peut être bien pire.
v1;210;Den nomízo óti katalavaínete tis sképseis kai ta deiná pou pernáo. / Je crois que tu ne comprends pas mes problèmes.
v2;240;Eímai stratiótis, óchi filósofos. Tha prépei na páte na prosefchitheíte sto Theó gia kathodígisi, kathós safós chreiázeste kápoio. / Je suis un soldat, pas un philosophe. Tu devrais aller prier, tu as clairement besoin d'aide divine.
v1;270;Écho ídi kai den écho típota perissótero apó ton Theó. Ótan prosefchómoun, émeina me to ídio sympérasma ópos écho tóra. / J'ai déjà essayé et je n'ai rien reçu. Mes conclusions n'ont pas changées.
v2;300;Ti? Échete afísei safós ton Theó gia na min sas po tin alítheia! Pigaínete píso stin prosefchí méchri na borésete na skotósete kai páli tous varvárous! / Quoi ? Alors tu es clairement un hérétique ! Retourne prier jusqu'à ce que tu puisse aller tuer des barbares de nouveau !
v1;330;Ísos aftó eínai to sympérasma pou o Theós símane gia ména na écho! Tha páo na proséfchomai tóra. / Peut être que Dieu ne veut pas que j'aille faire ça !
v2;360;Akoúgetai perissótero ópos o Theós thélei na syntaxiodotitheíte ... / Je crois surtout que Dieu souhaite que tu prennes ta retraite...

newchat;key:kidsbos,v1:child,v2:child,weigth:5
v1;0;Bahh… Bahhh… / Bahhh… Bahhh…
v2;30;Stamáta to! Tha ton kalésete me aftó / Arrête ça! Tu vas l'invoquer en faisant ça!
v1;60;O Boskokrátor, sas káno éna ieró tópo… / Oh Boskokrator, je te construis un lieu sacré…
v2;90;Skáse! Den xérete ti symvaínei ston mýtho? / Tais-toi! Ne sais-tu pas ce qu'il se passe dans la légende?
v1;120;$targetfirstname, klápse moró! Eínai móno aftó! Enas mýthos! / $targetfirstname, tu pleures comme un bébé! Ce n'est rien ! Juste une légende!


//newchat;key:talking5,v1:male,v2:male,v1:adult,v2:adult,v1:notvtype:pastor_byzantine-patriarch_byzantine-armysmith_byzantine-baron_byzantine,v2:notvtype:pastor_byzantine-patriarch_byzantine-armysmith_byzantine-baron_byzantine,weigth:15
//v1;0;Boom! Ímoun molis eínai se thési na elénxei éxo ti néa ropalo! / Boom! Je pourrais essayer la nouvelle masse maintenant!
//v2;30;Nai! Prokeitai gia éna fovero oplo! Eínai chtypá tous echthroús makriá! / Oui! C'est une arme fantastique! Elle repousse même les ennemis!
//v1;60;Entyposiako, e? Afto to aristoúrgima Romaïkí den boreí na synkritheí me otidípote állo se afto ton kosmo. / Génial, n'est ce pas? Ce chef-d'œuvre romain ne peut être comparé à rien d'autre dans ce monde.
//v2;100;Thats giatí boroúme na eímaste yperífanoi na eínai Romaíoi! / C'est pourquoi nous pouvons être fiers d'être Romains!

//newchat;key:religious1,v1:vtype:patriarch_byzantine-pastor_byzantine,v2:male,weigth:10
//v1;0;$targetfirstname, o gios mou, ego den eída na proséfchetai símera! / $targetfirstname, mon fils, je ne l'ai pas vu prier aujourd'hui!
//v2;30;Patéras $targetlastname, ego sígoura ékane. / Père $targetlastname, j'ai vraiment prié.

//newchat;key:religious2,v1:vtype:patriarch_byzantine-pastor_byzantine,v2:female,weigth:10
//v1;0;$targetfirstname, kori mou, ego den eída na proséfchetai símera! / $targetfirstname, ma fille, je ne l'ai pas vu prier aujourd'hui!
//v2;30;Patéras $targetlastname, ego sígoura ékane. / Père $targetlastname, j'ai vraiment prié.

//newchat;key:religious3,v1:vtype:patriarch_byzantine-pastor_byzantine,v2:female,weigth:10
//v1;0;$targetfirstname, kóri mou, eísai eirinikí sto myaló sou? / $targetfirstname, ma fille, es-tu en paix avec toi même?
//v2;30;Patéras $targetlastname, Den eímai eirinikós, apó tóte pou ftásame edó, aisthánomai óti ypárchei káti diaforetikó. / Père $targetlastname, je ne suis pas en paix, depuis notre arrivée ici, je sens qu'il y a quelque chose de différent.
//v1;60;Paidí, polloí apó emás aisthánontai óti ypárchei káti diaforetikó edó. / Mon enfant, beaucoup d’entre nous pensent qu’il y a quelque chose de différent ici.
//v2;90;Allá ti boró na káno? I zoí mou edó tha eínai gia pánta diaforetikí edó. / Mais qu'est-ce que je peux faire? Ma vie ici sera à jamais différente.
//v1;120;To móno pou boroúme na kánoume eínai na prosefchómaste afoú o Theós échei éna schédio gia mas. / Tout ce que nous pouvons faire est de prier, puisque Dieu a un plan pour nous.

//newchat;key:religious4,v1:vtype:patriarch_byzantine-pastor_byzantine,v2:male,weigth:10
//v1;0;$targetfirstname, O gios mou, eíste eirinikós sto myaló? / $targetfirstname, mon fils, es-tu tranquille?
//v2;30;Patéras $targetlastname, Den eímai eirinikós, apó tóte pou ftásame edó, aisthánomai óti ypárchei káti diaforetikó. / Père $targetlastname, je ne suis pas tranquille, depuis que nous sommes arrivés ici, je sens qu'il y a quelque chose de différent.
//v1;60;Paidí, polloí apó emás aisthánontai óti ypárchei káti diaforetikó edó. / Mon enfant, beaucoup d’entre nous pensent qu’il y a quelque chose de différent ici.
//v2;90;Allá ti boró na káno? I zoí mou edó tha eínai gia pánta diaforetikí edó. / Mais qu'est-ce que je peux faire? Ma vie ici sera à jamais différente.
//v1;120;To móno pou boroúme na kánoume eínai na prosefchómaste afoú o Theós échei éna schédio gia mas. / Tout ce que nous pouvons faire est de prier, puisque Dieu a un plan pour nous.

//newchat;key:ticlon,v1:notvtype:pastor_byzantine-patriarch_byzantine,v2:vtype:pastor_byzantine-patriarch_byzantine,weigth:1
//v1;0;Patéras $targetlastname, otan proséfchomai, eída kápoia períerga sýmvola../Père $targetlastname, quand je priais, j'ai vu des symboles étranges.
//v2;30;Paidí, ti sou édeixe o Theós? / Mon enfant, que t'a montré Dieu?
//v1;60;Patéra, ta sýmvola ítan "Tiklón". Xérate ti ennooún? / Père, les symboles étaient "Tiklón". Savez-vous ce qu'ils veulent dire?
//v2;90;O Theós doulévei me mystiriódi trópo / Les voies du Seigneur sont impénétrables.

//newchat;key:nobakery,building:farm,notbuilding:bakerybyzantine,v1:adult,v2:adult,weigth:15
//v1;0;Ach, poios den thélei frésko, nóstimo psomí apó to agróktima sitarioú? / Ah, qui ne veut pas de pain frais et savoureux venant de la ferme de blé?
//v2;30;Xérete óti chreiazómaste éna artopoieío gia na metatrépsoume to sitári se psomí sostá? / Tu sais que nous avons besoin d'une boulangerie pour transformer le blé en pain, n'est-ce pas?
//v1;60;Prépei na me gelás. Tóra tha petháno. / Tu ne peux que te moquer de moi. Maintenant, je vais mourir de faim.
//v2;90;Limoktonó? Símera to proí fágate to proinó mou! Tha eímai o peinasménos. / Mourrir de faim? Ce matin tu as pris mon petit déjeuner! Je serai celui qui mourra de faim.
//v1;120;To chreiázomai perissótero apó eséna! / J'en ai plus besoin que toi!
//v2;150;Den xéro giatí sas miláo! / Je ne sais pas pourquoi je te parle!
//v1;180;Chreiazómaste éna artopoieío, aftó eínai simantikó. / Nous avons besoin d'une boulangerie, c'est ce qui compte.

